200 100
0 1 2
1 2 3
2 3 2
3 0 1
0 2 5
1 3 4
4 5 6
5 6 7
6 7 8
7 8 9
8 9 10
9 10 11
10 11 12
11 12 13
12 13 14
13 14 15
14 15 16
15 16 17
16 17 18
17 18 19
18 19 20
19 20 21
20 21 22
21 22 23
22 23 24
23 24 25
24 25 26
25 26 27
26 27 28
27 28 29
28 29 30
29 30 31
30 31 32
31 32 33
32 33 34
33 34 35
34 35 36
35 36 37
36 37 38
37 38 39
38 39 40
39 40 41
40 41 42
41 42 43
42 43 44
43 44 45
44 45 46
45 46 47
46 47 48
47 48 49
48 0 50
0 3 6
1 4 7
2 5 8
3 6 9
4 7 10
5 8 11
6 9 12
7 10 13
8 11 14
9 12 15
10 13 16
11 14 17
12 15 18
13 16 19
14 17 20
15 18 21
16 19 22
17 20 23
18 21 24
19 22 25
20 23 26
21 24 27
22 25 28
23 26 29
24 27 30
25 28 31
26 29 32
27 30 33
28 31 34
29 32 35
30 33 36
31 34 37
32 35 38
33 36 39
34 37 40
35 38 41
36 39 42
37 40 43
38 41 44
39 42 45
40 43 46
41 44 47
42 45 48
43 46 49
44 47 50
45 48 51
46 49 52
47 50 53
48 51 54
49 52 55
50 53 56
51 54 57
52 55 58
53 56 59
54 57 60
55 58 61
56 59 62
57 60 63
58 61 64
59 62 65
60 63 66
61 64 67
62 65 68
63 66 69
64 67 70
65 68 71
66 69 72
67 70 73
68 71 74
69 72 75
70 73 76
71 74 77
72 75 78
73 76 79
74 77 80
75 78 81
76 79 82
77 80 83
78 81 84
79 82 85
80 83 86
81 84 87
82 85 88
83 86 89
84 87 90
85 88 91
86 89 92
87 90 93
88 91 94
89 92 95
90 93 96
91 94 97
92 95 98
93 96 99
94 97 100
95 98 101
96 99 102
97 0 103
98 1 104
99 2 105
0 50 106
50 51 107
51 52 108
52 53 109
53 54 110
54 55 111
55 56 112
56 57 113
57 58 114
58 59 115
59 60 116
60 61 117
61 62 118
62 63 119
63 64 120
64 65 121
65 66 122
66 67 123
67 68 124
68 69 125
69 70 126
70 71 127
71 72 128
72 73 129
73 74 130
74 75 131
75 76 132
76 77 133
77 78 134
78 79 135
79 80 136
80 81 137
81 82 138
82 83 139
83 84 140
84 85 141
85 86 142
86 87 143
87 88 144
88 89 145
89 90 146
90 91 147
91 92 148
92 93 149
93 94 150
94 95 151
95 96 152
96 97 153
97 98 154
98 99 155
99 0 156
0 51 157
1 52 158
2 53 159
3 54 160
4 55 161
5 56 162
6 57 163
7 58 164
8 59 165
9 60 166
10 61 167
11 62 168
12 63 169
13 64 170
14 65 171
15 66 172
16 67 173
17 68 174
18 69 175
19 70 176
20 71 177
21 72 178
22 73 179
23 74 180
24 75 181
25 76 182
26 77 183
27 78 184
28 79 185
29 80 186
30 81 187
31 82 188
32 83 189
33 84 190
34 85 191
35 86 192
36 87 193
37 88 194
38 89 195
39 90 196
40 91 197
41 92 198
42 93 199
43 94 200
