Algorithm,Representation,Vertices,Density,Number of Samples,Time
PRIM,Matrix,10,25,50,0.00256162
PRIM,Matrix,10,50,50,0.00396102
PRIM,Matrix,10,99,50,0.0053639000000000004
PRIM,Matrix,50,25,50,1.7411186
PRIM,Matrix,50,50,50,2.9625825400000014
PRIM,Matrix,50,99,50,4.057634059999999
PRIM,Matrix,100,25,50,25.850627600000003
PRIM,Matrix,100,50,50,44.417295859999996
PRIM,Matrix,100,99,50,60.311257960000006
PRIM,Matrix,150,25,50,129.32816954000006
PRIM,Matrix,150,50,50,224.09308282
PRIM,Matrix,150,99,50,302.2385416000001
PRIM,Matrix,200,25,50,406.88240573999997
PRIM,Matrix,200,50,50,701.2125421799999
PRIM,Matrix,200,99,50,928.4386721200003
PRIM,Matrix,250,25,50,986.1517720399997
PRIM,Matrix,250,50,50,1700.4207382599996
PRIM,Matrix,250,99,50,2254.30886312
PRIM,Matrix,300,25,50,2004.8566796399994
PRIM,Matrix,300,50,50,3509.420041280001
PRIM,Matrix,300,99,50,4773.17171042
PRIM,Matrix,400,25,50,6375.938138060002
PRIM,Matrix,400,50,50,10988.4368614
PRIM,Matrix,400,99,50,14880.575704119998
PRIM,List,10,25,50,0.0008806599999999998
PRIM,List,10,50,50,0.0010151199999999996
PRIM,List,10,99,50,0.0030419399999999995
PRIM,List,50,25,50,0.04105710000000002
PRIM,List,50,50,50,0.06700234
PRIM,List,50,99,50,0.10356956000000002
PRIM,List,100,25,50,0.33795297999999996
PRIM,List,100,50,50,0.6313127199999999
PRIM,List,100,99,50,0.8351541599999999
PRIM,List,150,25,50,1.2583077999999999
PRIM,List,150,50,50,2.25450974
PRIM,List,150,99,50,4.06435514
PRIM,List,200,25,50,2.8745233199999998
PRIM,List,200,50,50,7.12474106
PRIM,List,200,99,50,10.198710119999998
PRIM,List,250,25,50,5.426098579999999
PRIM,List,250,50,50,16.312849240000002
PRIM,List,250,99,50,20.88783974
PRIM,List,300,25,50,10.775162439999999
PRIM,List,300,50,50,27.27173254
PRIM,List,300,99,50,39.018103339999996
PRIM,List,400,25,50,38.19706266
PRIM,List,400,50,50,74.56908170000001
PRIM,List,400,99,50,109.4068344
Dijkstra,Matrix,10,25,50,0.0028526399999999996
Dijkstra,Matrix,10,50,50,0.0038944799999999996
Dijkstra,Matrix,10,99,50,0.0050487599999999985
Dijkstra,Matrix,50,25,50,1.7964815399999998
Dijkstra,Matrix,50,50,50,3.127084639999999
Dijkstra,Matrix,50,99,50,4.388911620000001
Dijkstra,Matrix,100,25,50,27.436664740000012
Dijkstra,Matrix,100,50,50,47.82207788000001
Dijkstra,Matrix,100,99,50,66.46682298000002
Dijkstra,Matrix,150,25,50,133.15759598
Dijkstra,Matrix,150,50,50,219.50569669999993
Dijkstra,Matrix,150,99,50,291.91861886000004
Dijkstra,Matrix,200,25,50,413.8312317400001
Dijkstra,Matrix,200,50,50,691.2933001799997
Dijkstra,Matrix,200,99,50,927.1925260600002
Dijkstra,Matrix,250,25,50,972.0139079600001
Dijkstra,Matrix,250,50,50,1695.9310704
