Algorithm,Representation,Vertices,Density,Number of Samples,Time
PRIM,Matrix,10,25,50,0.0031368599999999996
PRIM,Matrix,10,50,50,0.003982240000000001
PRIM,Matrix,10,99,50,0.005281560000000001
PRIM,Matrix,50,25,50,1.6838283799999993
PRIM,Matrix,50,50,50,2.9583334400000005
PRIM,Matrix,50,99,50,3.9693254799999984
PRIM,Matrix,100,25,50,25.780095120000002
PRIM,Matrix,100,50,50,44.258475260000004
PRIM,Matrix,100,99,50,59.44708698
PRIM,Matrix,125,25,50,61.93953059999998
PRIM,Matrix,125,50,50,107.09579693999996
PRIM,Matrix,125,99,50,143.68442546
PRIM,Matrix,150,25,50,126.94440220000004
PRIM,Matrix,150,50,50,218.64467857999998
PRIM,Matrix,150,99,50,298.1819388400001
PRIM,Matrix,200,25,50,402.6713913599999
PRIM,Matrix,200,50,50,693.1599549
PRIM,Matrix,200,99,50,928.44464966
PRIM,Matrix,250,25,50,978.2903042400003
PRIM,Matrix,250,50,50,1685.0948775999998
PRIM,Matrix,250,99,50,2245.8861448400003
PRIM,List,10,25,50,0.0008630800000000002
PRIM,List,10,50,50,0.0010400399999999997
PRIM,List,10,99,50,0.0013200599999999999
PRIM,List,50,25,50,0.04111370000000001
PRIM,List,50,50,50,0.06745820000000001
PRIM,List,50,99,50,0.10593315999999996
PRIM,List,100,25,50,0.33156621999999997
PRIM,List,100,50,50,0.59935344
PRIM,List,100,99,50,0.8364390399999998
PRIM,List,125,25,50,0.6351857
PRIM,List,125,50,50,1.1224530000000001
PRIM,List,125,99,50,1.9087749599999995
PRIM,List,150,25,50,1.1147001
PRIM,List,150,50,50,1.97655494
PRIM,List,150,99,50,3.783988399999999
PRIM,List,200,25,50,2.7289537200000002
PRIM,List,200,50,50,6.91175676
PRIM,List,200,99,50,10.068982899999998
PRIM,List,250,25,50,5.285226639999999
PRIM,List,250,50,50,14.983931699999998
PRIM,List,250,99,50,21.758386160000004
Dijkstra,Matrix,10,25,50,0.0023049600000000013
Dijkstra,Matrix,10,50,50,0.003502159999999999
Dijkstra,Matrix,10,99,50,0.00501062
Dijkstra,Matrix,50,25,50,1.6925950199999997
Dijkstra,Matrix,50,50,50,2.9486172400000004
Dijkstra,Matrix,50,99,50,3.9931664600000003
Dijkstra,Matrix,100,25,50,25.694843900000002
Dijkstra,Matrix,100,50,50,44.085204780000005
Dijkstra,Matrix,100,99,50,59.49360926
Dijkstra,Matrix,125,25,50,61.573049900000015
Dijkstra,Matrix,125,50,50,105.9606298
Dijkstra,Matrix,125,99,50,144.11264696
Dijkstra,Matrix,150,25,50,127.04747367999995
Dijkstra,Matrix,150,50,50,222.89737965999993
Dijkstra,Matrix,150,99,50,293.7844189000001
Dijkstra,Matrix,200,25,50,400.2169133199998
Dijkstra,Matrix,200,50,50,685.44214682
Dijkstra,Matrix,200,99,50,940.5512384200001
Dijkstra,Matrix,250,25,50,972.14566306
Dijkstra,Matrix,250,50,50,1673.2176574399998
Dijkstra,Matrix,250,99,50,2280.372239619999
Dijkstra,List,10,25,50,0.00148488
Dijkstra,List,10,50,50,0.0018567
Dijkstra,List,10,99,50,0.0011339199999999994
Dijkstra,List,50,25,50,0.03988188
Dijkstra,List,50,50,50,0.06467177999999998
Dijkstra,List,50,99,50,0.11051462000000002
Dijkstra,List,100,25,50,0.35582309999999984
Dijkstra,List,100,50,50,0.6203977599999998
Dijkstra,List,100,99,50,0.82504368
Dijkstra,List,125,25,50,0.68106206
Dijkstra,List,125,50,50,1.1524281999999997
Dijkstra,List,125,99,50,2.12171378
Dijkstra,List,150,25,50,1.23699276
Dijkstra,List,150,50,50,2.05485488
Dijkstra,List,150,99,50,4.216929399999999
Dijkstra,List,200,25,50,2.88871352
Dijkstra,List,200,50,50,7.29399064
Dijkstra,List,200,99,50,10.508059999999999
Dijkstra,List,250,25,50,5.316347900000002
Dijkstra,List,250,50,50,16.7830138
Dijkstra,List,250,99,50,24.122871919999998
